tv_ad_spend_usd,digital_ad_spend_usd,print_ad_spend_usd,radio_ad_spend_usd,product_category,season,promotion_budget_usd,sales_team_size,market_share_percent,competitor_activity,economic_conditions,distribution_coverage,product_launch_year,revenue_usd
82842.36623048378,14361.85143178266,29286.41770909421,4200.090917604013,Beauty,Summer,21069.965290419397,33.0,16.27084653039992,High,Stable,Regional,2019.0,2592799.8479662514
36070.97674077283,36778.517102461505,,14185.19483016471,Electronics,Fall,6897.088763881481,38.0,17.726200582223807,High,Stable,,2022.0,1154372.6074435632
61120.46138253556,13361.274023035927,20013.654767673244,,Sports,Fall,39338.06625711895,19.0,10.923855070648765,Medium,Stable,National,2016.0,305857.30196913995
56177.64095616088,25852.220835359396,9703.041811300056,4907.227399776074,Electronics,,1445.9013920266384,10.0,10.21809159416938,,Recession,International,2018.0,3706296.3010066818
96904.53722396833,75592.29299489608,,3875.9749645203938,Beauty,Summer,,43.0,10.495739738004948,Low,Stable,Regional,,1047622.0420979313
,12216.92247220152,28830.709731312072,,Beauty,Fall,1662.9338218398516,6.0,3.931715329493642,Low,Growth,National,2021.0,4618241.504032054
27332.085734062923,14389.061210280988,7159.384818045173,1010.29847382811,Electronics,Summer,43756.13889681752,44.0,10.323849122323907,High,Recession,Regional,2020.0,3905213.506220802
18244.956037917567,54606.71454382807,25039.665687139426,17847.131445826104,Home Goods,Fall,2735.72157283396,15.0,16.21841726145322,Medium,Growth,International,2012.0,3792913.833611662
54920.37297123013,20291.078584496117,7117.107883166601,15748.178904883718,Electronics,Winter,,35.0,13.462961183175384,Medium,Growth,International,2018.0,4161106.4307783474
36683.73125952786,68426.31356979022,20596.973418310747,12193.019324395946,Electronics,Spring,10449.359777958456,14.0,17.52784111165049,High,Stable,International,2019.0,1372167.880935768
88555.38769231427,39364.383502948695,3811.380574308612,1730.0430781886475,,,24838.30159331773,17.0,11.619010211310188,Medium,Recession,National,2020.0,4456987.1336276615
10467.63117355706,60868.13972200336,15768.048805511804,9048.602495251791,Apparel,,542.9158738770811,21.0,26.43081102669322,Low,Recession,Regional,2022.0,556738.9577903344
98240.93033861104,19635.000592977412,11975.193920910635,18044.648831452218,Apparel,Spring,43207.06732143127,14.0,13.046289150043057,Low,,International,2018.0,2877668.72248117
89124.25346624384,8005.995759528503,4034.8300968021613,12401.567853190088,Electronics,Winter,15808.593414432526,29.0,12.14889688057913,,Growth,National,2013.0,3701900.4152542157
65882.57098942614,69904.2984515176,,5735.5664201008885,Sports,Spring,49704.15074999138,13.0,,Medium,Stable,Regional,2019.0,578155.7269005171
64929.44497352183,37455.10988998306,12888.94717364147,16139.702459811197,Electronics,Spring,26211.213919526792,39.0,4.02665286669534,Medium,Growth,International,2014.0,516334.5237744418
41889.940960533146,44471.51206625978,12437.071150657734,18352.320883113414,Electronics,Fall,10993.474259851771,23.0,,High,Recession,Regional,2020.0,818426.6830541177
21029.912454111218,36994.724666140864,10825.06637563957,11782.644006369466,Beauty,Spring,39222.17510235442,12.0,25.92042790075791,Medium,,Regional,2016.0,458619.46614660183
6630.340534356585,61870.84501639205,27638.645025408056,17390.084464678144,Electronics,Winter,1793.6945459104347,26.0,8.351283608491318,High,Recession,International,2021.0,3674477.103973151
21866.9190313504,28567.36721457605,,4790.68448712792,Electronics,Winter,13993.728849400195,40.0,2.598800247246948,Medium,,National,2011.0,1251392.8839001555
43303.22512700293,6088.742126440196,21705.213068517958,881.9793731992678,Sports,Winter,38914.05386653277,14.0,13.658734149039379,High,Recession,Regional,2012.0,4852314.842654333
35211.13460856311,2649.064541674121,27622.75880631977,9371.932313899371,Apparel,Summer,46836.10867362035,,15.81002208550545,Medium,Growth,Regional,2014.0,2543811.2415342145
50228.827560278056,13599.47277941671,16100.36958542689,11849.917502100787,Electronics,,42347.50838575264,38.0,1.2316161360292388,Medium,Recession,International,2012.0,2135899.959363747
60576.135645438815,64661.873381937534,4340.563615771069,15295.36245827841,Home Goods,,38590.767436758986,9.0,6.334045263829016,Low,Recession,Regional,2016.0,4581598.387311075
62929.3894714284,54083.573722438196,18789.033859772815,5259.289060757222,Beauty,Spring,9064.837552967863,31.0,27.02626308703199,Medium,Recession,National,2016.0,202178.0939572648
45026.971923295176,73915.69904783295,10398.080890438274,12035.74011846921,Beauty,Spring,,10.0,10.2246554861682,Medium,Stable,Regional,2010.0,2891800.106737684
90334.34506686157,3279.836877272889,23409.651563898882,16214.727690230808,,Fall,47026.2240249948,29.0,7.681082378135542,High,Stable,Regional,2012.0,1113890.7530327917
43094.79735333222,49658.48263736933,23670.09611270398,5401.602468559299,Sports,,34700.41706792457,16.0,10.483292605306533,Low,Growth,Regional,,2705939.5990342414
40847.36959825157,58065.90080057507,,2790.134944971332,Home Goods,Fall,2956.8328395695175,19.0,8.560281366267505,High,Stable,National,2013.0,2623414.3551233984
18296.513740078717,14437.884829134686,24363.314659088122,16461.53673477513,Apparel,Winter,658.2975689618353,24.0,9.909621870167946,Medium,Recession,,2015.0,3562710.190382992
,72793.96029871955,10925.866245911137,7264.078372192416,Home Goods,Spring,47100.448453189594,27.0,17.150166635501627,Low,Growth,International,2019.0,1664778.536522795
8697.353897617171,58097.75148321893,12803.753060142968,2160.6439918772962,Home Goods,Fall,9526.086045856713,13.0,14.666103718642006,High,Growth,International,2013.0,4425319.751266477
79800.93137431775,37167.32766124853,,584.6805760059035,Home Goods,Fall,2969.3331297335367,14.0,,High,Growth,Regional,2015.0,4048688.8321969057
56652.69065740605,60806.39077325596,7538.638420748876,14372.519848931603,Beauty,Summer,,35.0,1.7435172146960571,Low,Recession,,2016.0,737297.6504053428
50720.63476917815,20530.1852698243,,3329.740407333746,Apparel,Winter,44916.345282337184,8.0,16.81775337873728,Low,Growth,National,2010.0,4896830.460323621
80427.48278592988,15558.826209625775,21825.725518459705,19951.13684780827,Electronics,Spring,46335.58832626464,33.0,15.013811798941392,Low,Stable,Regional,2020.0,4371029.398587711
23969.401669931874,79618.22679946451,23164.737238066646,19875.535202284707,Apparel,Fall,5208.343256522002,5.0,22.124949920878155,Low,Stable,Regional,2015.0,1987560.5391432815
33837.51225848706,22503.919479291348,8517.795738245932,3095.950598721086,Electronics,Fall,31254.004930143205,43.0,22.104305629258587,Medium,Recession,Regional,2017.0,4959111.5386305405
57770.094857844924,5282.477305438587,24635.399404234537,11861.246474246,Sports,Spring,17026.081966237503,14.0,26.85294114657727,High,Recession,National,2020.0,4977262.631477349
64279.46770113926,77366.69556126774,29923.029200577825,5525.5212509811245,Beauty,Summer,22921.91788881574,27.0,8.120268704091927,Medium,Stable,National,2014.0,2756371.6611778857
70956.85663938189,74276.85884624766,24561.087897320744,,,Spring,31443.739063665267,31.0,9.854029103688024,Medium,,International,2013.0,1569706.0069931315
79437.53867548758,75943.00957426595,18549.361695436022,16170.565359873983,Electronics,Spring,19584.28583475997,6.0,8.057582129820453,Medium,Stable,Regional,2016.0,4740534.943452306
54847.0692914948,52851.14826726148,14933.72333411966,12788.159672340205,Sports,Fall,45425.42569924654,9.0,16.703690333960143,High,Stable,National,2021.0,2782145.4756275695
46015.23107558565,31459.848871892405,18980.43502295856,8860.68138902648,Apparel,Fall,,31.0,22.604684633172425,High,Stable,National,2017.0,3170479.4614196923
31723.119895447697,28121.23691183468,2403.7587144945765,6442.279931369984,Beauty,Fall,2743.5223789367524,,13.936822344616557,Low,Recession,International,2014.0,2028346.072289882
78206.6407563683,77252.95269825697,13301.640877515414,16569.769174425677,Apparel,Spring,39029.75980022202,16.0,27.576379562549203,Low,Stable,Regional,2011.0,4743851.340912811
66687.37825814445,24246.750033826498,15024.372019539136,10468.599494251132,Apparel,Fall,36948.334805538514,45.0,7.195432990335563,Low,Recession,,2022.0,3644565.703229218
